DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER
Friday,April,0.0,3.0,15.0,0.0,20.0,11.0,2.0,30.0,23.0
Saturday,May,0.0,4.0,10.0,2.0,14.0,16.0,1.0,26.0,12.0
Sunday,May,0.0,10.0,3.0,0.0,12.0,8.0,0.0,26.0,15.0
Monday,May,0.0,4.0,11.0,0.0,14.0,16.0,0.0,31.0,31.0
Tuesday,May,0.0,7.0,8.0,0.0,11.0,12.0,1.0,28.0,34.0
Wednesday,May,0.0,16.0,13.0,0.0,13.0,7.0,1.0,27.0,20.0
Thursday,May,0.0,10.0,6.0,0.0,9.0,10.0,0.0,27.0,25.0
Friday,May,1.0,11.0,12.0,0.0,16.0,10.0,0.0,38.0,31.0
Saturday,May,0.0,9.0,8.0,1.0,11.0,12.0,1.0,38.0,22.0
Sunday,May,0.0,5.0,7.0,0.0,13.0,13.0,0.0,19.0,20.0
Monday,May,0.0,4.0,9.0,0.0,10.0,13.0,1.0,23.0,24.0
Tuesday,May,0.0,4.0,8.0,0.0,12.0,13.0,0.0,21.0,21.0
Wednesday,May,0.0,6.0,12.0,0.0,6.0,12.0,0.0,22.0,27.0
Thursday,May,0.0,2.0,11.0,0.0,9.0,15.0,0.0,14.0,36.0
Friday,May,0.0,6.0,9.0,0.0,7.0,17.0,0.0,27.0,33.0
Saturday,May,0.0,7.0,12.0,0.0,18.0,12.0,1.0,25.0,30.0
Sunday,May,0.0,5.0,5.0,1.0,10.0,12.0,0.0,29.0,26.0
Monday,May,0.0,5.0,15.0,0.0,11.0,14.0,0.0,30.0,30.0
Tuesday,May,0.0,5.0,12.0,0.0,12.0,9.0,1.0,22.0,31.0
Wednesday,May,0.0,5.0,13.0,0.0,8.0,11.0,1.0,18.0,39.0
Thursday,May,1.0,10.0,9.0,1.0,20.0,16.0,0.0,32.0,31.0
Friday,May,0.0,5.0,19.0,0.0,8.0,10.0,0.0,23.0,41.0
Saturday,May,0.0,7.0,11.0,0.0,16.0,14.0,0.0,17.0,37.0
