date,DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER,Month,Year,Area,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
2010-02-16,Tuesday,February,0.0,8.0,10.0,0.0,8.0,2.0,0.0,6.0,14.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-17,Wednesday,February,0.0,3.0,6.0,0.0,4.0,4.0,0.0,13.0,14.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-18,Thursday,February,0.0,1.0,6.0,0.0,10.0,3.0,0.0,13.0,16.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-19,Friday,February,0.0,4.0,15.0,0.0,8.0,11.0,0.0,11.0,18.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-20,Saturday,February,0.0,6.0,10.0,0.0,8.0,5.0,1.0,27.0,16.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-21,Sunday,February,2.0,3.0,4.0,1.0,7.0,9.0,0.0,18.0,27.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-22,Monday,February,1.0,3.0,8.0,0.0,7.0,5.0,0.0,19.0,21.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-23,Tuesday,February,0.0,8.0,11.0,0.0,9.0,7.0,0.0,21.0,23.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-24,Wednesday,February,0.0,6.0,7.0,1.0,7.0,9.0,0.0,28.0,26.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
2010-02-25,Thursday,February,0.0,3.0,13.0,0.0,7.0,12.0,0.0,19.0,17.0,2,2010,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA","3,107,062","2,899,303","207,759",6.7,11.0,47900.0
