Date,Holiday,Public,labor force,employment,unemployment,unemployment rate,Area,DAY,MONTH,ARSON,ASSAULT W/DANGEROUS WEAPON,BURGLARY,HOMICIDE,MOTOR VEHICLE THEFT,ROBBERY,SEX ABUSE,THEFT F/AUTO,THEFT/OTHER,TOTAL,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,April,August,December,February,January,July,June,March,May,November,October,September
2010-02-11,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Thursday,February,0.0,6.0,0.0,0.0,5.0,2.0,0.0,7.0,9.0,29.0,0.0,0.0,483.0,0.0,-6.1,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-12,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,February,0.0,8.0,4.0,1.0,13.0,6.0,0.0,9.0,13.0,54.0,0.0,0.0,381.0,3.9,-3.9,-0.6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-13,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,February,0.0,8.0,5.0,0.0,12.0,5.0,0.0,13.0,17.0,60.0,0.0,0.0,432.0,3.3,-2.8,-2.2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-14,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Sunday,February,0.0,11.0,6.0,0.0,7.0,9.0,1.0,11.0,10.0,55.0,0.0,0.0,0.0,3.3,-3.9,-2.2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-15,Washington's Birthday,False,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Monday,February,0.0,6.0,4.0,1.0,9.0,7.0,0.0,16.0,6.0,49.0,0.0,0.0,0.0,4.4,-9.4,-1.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-16,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Tuesday,February,0.0,8.0,10.0,0.0,8.0,2.0,0.0,6.0,14.0,48.0,0.0,0.0,406.0,3.9,-2.8,-2.8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-17,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Wednesday,February,0.0,3.0,6.0,0.0,4.0,4.0,0.0,13.0,14.0,44.0,0.0,0.0,356.0,2.2,-4.4,-1.7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-18,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Thursday,February,0.0,1.0,6.0,0.0,10.0,3.0,0.0,13.0,16.0,49.0,0.0,0.0,356.0,2.8,-1.7,2.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-19,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Friday,February,0.0,4.0,15.0,0.0,8.0,11.0,0.0,11.0,18.0,67.0,0.0,0.0,178.0,6.1,1.1,2.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-02-20,,True,3094230,2881531,212699,6.9,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",Saturday,February,0.0,6.0,10.0,0.0,8.0,5.0,1.0,27.0,16.0,73.0,0.0,0.0,0.0,7.2,0.6,2.8,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
