Area,Year,Month,Civilian Labor Force,Employment,Unemployment,Unemployment Rate,State FIPS Code,Area FIPS Code
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,2.0,"2,450,486","2,330,167","120,319",4.9,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,3.0,"2,449,742","2,330,889","118,853",4.9,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,4.0,"2,450,545","2,332,808","117,737",4.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,5.0,"2,455,254","2,337,773","117,481",4.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,6.0,"2,459,062","2,340,743","118,319",4.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,7.0,"2,460,435","2,341,713","118,722",4.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,8.0,"2,458,934","2,342,328","116,606",4.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,9.0,"2,456,539","2,342,696","113,843",4.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,10.0,"2,458,336","2,346,269","112,067",4.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,11.0,"2,460,617","2,350,916","109,701",4.5,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1993.0,12.0,"2,467,400","2,359,087","108,313",4.4,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,1.0,"2,480,374","2,371,883","108,491",4.4,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,2.0,"2,484,783","2,376,398","108,385",4.4,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,3.0,"2,484,366","2,376,963","107,403",4.3,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,4.0,"2,489,378","2,384,616","104,762",4.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,5.0,"2,493,064","2,391,134","101,930",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,6.0,"2,490,715","2,390,349","100,366",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,7.0,"2,489,968","2,390,246","99,722",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,8.0,"2,495,777","2,396,001","99,776",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,9.0,"2,505,157","2,404,559","100,598",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,10.0,"2,515,558","2,413,877","101,681",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,11.0,"2,525,087","2,423,487","101,600",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1994.0,12.0,"2,529,651","2,427,861","101,790",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,1.0,"2,525,806","2,423,732","102,074",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,2.0,"2,521,336","2,420,483","100,853",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,3.0,"2,521,346","2,419,107","102,239",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,4.0,"2,519,323","2,413,516","105,807",4.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,5.0,"2,513,648","2,406,459","107,189",4.3,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,6.0,"2,510,913","2,403,947","106,966",4.3,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,7.0,"2,510,090","2,404,013","106,077",4.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,8.0,"2,507,809","2,402,321","105,488",4.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,9.0,"2,507,792","2,402,814","104,978",4.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,10.0,"2,507,090","2,403,210","103,880",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,11.0,"2,500,758","2,397,761","102,997",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1995.0,12.0,"2,491,252","2,389,506","101,746",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,1.0,"2,487,178","2,386,981","100,197",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,2.0,"2,491,674","2,392,086","99,588",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,3.0,"2,493,734","2,394,049","99,685",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,4.0,"2,490,798","2,390,344","100,454",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,5.0,"2,491,370","2,390,334","101,036",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,6.0,"2,495,787","2,395,386","100,401",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,7.0,"2,499,447","2,400,076","99,371",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,8.0,"2,501,217","2,403,346","97,871",3.9,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,9.0,"2,503,159","2,406,442","96,717",3.9,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,10.0,"2,504,942","2,408,691","96,251",3.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,11.0,"2,505,203","2,409,344","95,859",3.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1996.0,12.0,"2,504,495","2,408,720","95,775",3.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,1.0,"2,502,702","2,407,290","95,412",3.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,2.0,"2,503,145","2,408,359","94,786",3.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,3.0,"2,506,607","2,412,281","94,326",3.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,4.0,"2,506,236","2,413,275","92,961",3.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,5.0,"2,503,131","2,412,227","90,904",3.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,6.0,"2,505,844","2,416,226","89,618",3.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,7.0,"2,513,118","2,423,753","89,365",3.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,8.0,"2,515,863","2,426,404","89,459",3.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,9.0,"2,513,135","2,424,296","88,839",3.5,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,10.0,"2,512,420","2,424,557","87,863",3.5,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,11.0,"2,516,948","2,429,151","87,797",3.5,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1997.0,12.0,"2,521,507","2,433,870","87,637",3.5,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,1.0,"2,525,434","2,438,998","86,436",3.4,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,2.0,"2,531,201","2,445,585","85,616",3.4,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,3.0,"2,535,979","2,452,220","83,759",3.3,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,4.0,"2,539,277","2,458,661","80,616",3.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,5.0,"2,542,685","2,463,196","79,489",3.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,6.0,"2,545,956","2,465,863","80,093",3.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,7.0,"2,549,070","2,468,738","80,332",3.2,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,8.0,"2,553,951","2,473,867","80,084",3.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,9.0,"2,558,755","2,479,161","79,594",3.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,10.0,"2,561,587","2,483,611","77,976",3.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,11.0,"2,566,077","2,491,076","75,001",2.9,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1998.0,12.0,"2,572,895","2,501,113","71,782",2.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,1.0,"2,578,771","2,508,969","69,802",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,2.0,"2,581,624","2,512,640","68,984",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,3.0,"2,585,171","2,516,140","69,031",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,4.0,"2,593,203","2,523,598","69,605",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,5.0,"2,599,238","2,530,465","68,773",2.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,6.0,"2,601,007","2,532,933","68,074",2.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,7.0,"2,606,026","2,537,335","68,691",2.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,8.0,"2,614,792","2,546,145","68,647",2.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,9.0,"2,624,762","2,556,678","68,084",2.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,10.0,"2,633,424","2,565,985","67,439",2.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,11.0,"2,638,460","2,572,157","66,303",2.5,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",1999.0,12.0,"2,642,484","2,577,571","64,913",2.5,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,1.0,"2,669,214","2,595,421","73,793",2.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,2.0,"2,674,765","2,600,360","74,405",2.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,3.0,"2,680,475","2,606,880","73,595",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,4.0,"2,683,400","2,610,623","72,777",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,5.0,"2,683,824","2,611,013","72,811",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,6.0,"2,685,740","2,613,692","72,048",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,7.0,"2,689,000","2,616,531","72,469",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,8.0,"2,693,976","2,619,785","74,191",2.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,9.0,"2,701,722","2,627,320","74,402",2.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,10.0,"2,712,365","2,638,681","73,684",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,11.0,"2,721,829","2,648,196","73,633",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2000.0,12.0,"2,750,221","2,676,628","73,593",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,1.0,"2,739,664","2,665,698","73,966",2.7,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,2.0,"2,737,663","2,661,354","76,309",2.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,3.0,"2,737,334","2,657,967","79,367",2.9,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,4.0,"2,732,407","2,651,171","81,236",3.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,5.0,"2,729,930","2,647,289","82,641",3.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,6.0,"2,730,278","2,645,175","85,103",3.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,7.0,"2,729,457","2,639,541","89,916",3.3,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,8.0,"2,730,757","2,633,814","96,943",3.6,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,9.0,"2,737,827","2,633,832","103,995",3.8,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,10.0,"2,744,811","2,635,012","109,799",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,11.0,"2,748,398","2,636,075","112,323",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2001.0,12.0,"2,751,706","2,639,719","111,987",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2002.0,1.0,"2,756,735","2,645,028","111,707",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2002.0,2.0,"2,764,043","2,652,245","111,798",4.0,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2002.0,3.0,"2,767,918","2,655,047","112,871",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2002.0,4.0,"2,768,406","2,655,073","113,333",4.1,11.0,47900.0
"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",2002.0,5.0,"2,768,013","2,656,915","111,098",4.0,11.0,47900.0
